#Select Statistics Per TCE From the Data Validation XML Files
#Mission = TESS
#Search =  tess2018319112539
#Sectors = S0005-S0005
#Created Date = 2019-02-27
#
tceid,ticid,planetNumber,planetCandidateCount,starTeffKelvin,starLoggCgs,orbitalPeriodDays,orbitalPeriodDays_err,planetRadiusEarthRadii,planetRadiusEarthRadii_err,ratioPlanetRadiusToStarRadius,ratioSemiMajorAxisToStarRadius,semiMajorAxisAu,starRadiusSolarRadii,transitDepthPpm,transitDepthPpm_err,transitDurationHours,transitEpochBtjd,transitEpochBtjd_err,transitIngressTimeHours,minImpactParameter,ws_mes,ws_mesphase,expectedtransitcount,chiSquare2,mes,maxses,equilibriumTempKelvin,InsolationFlux
00140209922-01,140209922,1,1,5792,4.42015,12.6528,0.00161714,5.70581,1.06254,0.0501925,40.0374,0.107741,1.0413,2945.89,273.218,2.53561,1442.67,0.00115939,0.121222,0.00999983,4.2162,4.49861,2,1.22322,13.9403,10.6303,794.544,94.1872
00140212114-01,140212114,1,2,3607,4.81473,0.280179,3.25113e-005,3.79779,6.63608,0.0781751,1.29464,0.00652523,0.445,2503.07,212.029,1.14965,1438.15,0.00153937,0.574826,0.990105,7.4976,0.14161,94,51.0911,9.14955,3.00749,1314.38,705.345
00140212114-02,140212114,2,2,3607,4.81473,0.280114,4.48182e-005,3.53985,4.7076,0.0728656,1.23322,0.00652422,0.445,2418.48,233.488,1.31238,1438.02,0.00205746,0.656189,0.983801,0,0.14008,94,68.1442,8.73165,3.09409,1314.48,705.562
00140212820-01,140212820,1,2,6223,4.0215,0.777621,2.02122e-005,40.4115,20.4421,0.209043,2.54445,0.017604,1.77079,18927.6,226.27,1.78539,1438.47,0.000376649,0.892697,0.990105,19.207,0.38882,34,473.078,67.7983,16.687,2754.03,13595.6
00140212820-02,140212820,2,2,6223,4.0215,0.777634,6.32934e-005,20.1261,19.6165,0.104109,2.0256,0.0176042,1.77079,4788.84,192.991,1.67598,1438.09,0.00117534,0.837988,0.988315,5.68586,0.52639,34,36.114,18.4031,5.08532,2754.02,13595.3
00140214098-01,140214098,1,1,3742,4.438,3.67531,0.000344466,31.0984,1.16446,0.284862,12.2745,0.0466321,1,81669.1,3577.43,2.47058,1439.56,0.00129344,1.07214,0.700814,3.19193,-0.625,7,228.295,37.1211,23.7511,764.634,80.7857
00140659978-01,140659978,1,1,5391,4.42187,9.44071,0.000403528,61.0058,66.2032,0.566735,17.278,0.0855803,0.986026,178509,879.146,5.41658,1446.02,0.000289014,2.70829,0.882241,5.49354,-0.63611,2,0.00339,187.407,133.59,807.455,100.46
00140659980-01,140659980,1,1,5642.4,3,9.44092,0.000554614,55.7424,11.3993,0.244248,10.5206,0.0474242,2.09051,25946.6,196.918,5.19349,1446.02,0.000387218,2.59675,0.990105,4.45103,0.36667,2,3.74051,138.601,98.7942,1653.04,1764.61
00140692280-01,140692280,1,1,5780,4.438,13.7958,0.00296965,2.23237,0.539852,0.0204486,17.7118,0.11263,1,489.372,63.0501,6.07512,1443.91,0.0021934,0.121878,0.00999983,3.87093,3.27361,2,1.00506,11.8473,8.75998,759.965,78.8305
00014081980-01,14081980,1,2,3883,4.64232,2.91931,0.000150217,11.173,3.573,0.16702,3.67668,0.0337532,0.612771,11483.2,135.594,3.91095,1438.87,0.000728306,1.95547,0.990105,21.9677,1.45555,9,43.4317,79.0287,30.4731,730.047,67.1313
00014081980-02,14081980,2,2,3883,4.64232,1.45963,0.000384366,5.69203,2.97804,0.0850876,1.66847,0.0212629,0.612771,3509.67,181.079,3.97065,1438.87,0.00307658,1.98533,0.977336,2.63402,0.83483,18,14.3913,22.1042,9.46893,919.807,169.164
00014087575-01,14087575,1,1,3296,4.438,13.8627,0.00307191,13.0709,1.43006,0.11973,50.8558,0.112994,1,17069.4,1889.6,2.33179,1448.09,0.00224332,0.249397,0.0127145,5.67476,8.78889,2,9.48572,15.7931,15.8665,432.666,8.2819
00140891597-01,140891597,1,3,5432.07,4.36376,0.235472,1.35312e-005,3.41996,2.6023,0.0284346,3.43959,0.00752343,1.10172,922.284,133.746,0.526247,1437.98,0.000451194,0.0162088,0.283609,9.62629,-0.05417,112,37.0696,7.17884,7.48917,2900.58,16728.6
00140891597-02,140891597,2,3,5432.07,4.36376,0.235458,6.61616e-006,6.80253,2.10585,0.0565584,6.551,0.00752313,1.10172,3409.57,230.382,0.245188,1438.17,0.000176128,0.0192197,0.574417,9.97828,-0.05729,111,124.008,13.7097,5.0186,2900.64,16730
00140891597-03,140891597,3,3,5432.07,4.36376,0.23546,8.01701e-006,11.1168,29.1411,0.0924282,2.6014,0.00752317,1.10172,3427.96,255.616,0.347326,1438.14,0.000279305,0.173663,0.990105,1.69951,0.14695,112,83.2443,10.108,3.73279,2900.63,16729.8
