#Select Statistics Per TCE From the Data Validation XML Files
#Mission = TESS
#Search = tess2018292093540
#Sectors = S0004-S0004
#Created Date = 2019-02-13
#
tceid,ticid,planetNumber,planetCandidateCount,starTeffKelvin,starLoggCgs,orbitalPeriodDays,orbitalPeriodDays_err,planetRadiusEarthRadii,planetRadiusEarthRadii_err,ratioPlanetRadiusToStarRadius,ratioSemiMajorAxisToStarRadius,semiMajorAxisAu,starRadiusSolarRadii,transitDepthPpm,transitDepthPpm_err,transitDurationHours,transitEpochBtjd,transitEpochBtjd_err,transitIngressTimeHours,minImpactParameter,ws_mes,ws_mesphase,expectedtransitcount,chiSquare2,mes,maxses,equilibriumTempKelvin,InsolationFlux
00140576174-01,140576174,1,1,6447.7,4.438,16.6705,0.00870633,2.85613,0.521014,0.0176556,9.77794,0.16608,1.48181,351.282,39.5747,12.6712,1413.68,0.0073991,0.24276,0.305259,4.91283,2.99722,2,10.2472,9.05111,8.50202,849.836,123.271
00140692280-01,140692280,1,1,5780,4.438,16.6528,0.00388886,1.37527,3.57117,0.0125976,86.5494,0.127687,1,185.294,35.0502,1.48013,1416.96,0.0020664,0.0186248,0.106847,6.29183,-2.99583,2,2.0649,9.02861,8.75729,713.751,61.3348
00140894053-01,140894053,1,1,3835,4.438,16.4689,0.0150175,8.02058,0.830166,0.0734689,10.3447,0.126745,1,4365.58,678.55,6.76688,1417.06,0.0108969,2.68855,0.919514,3.37601,-1.99306,2,0.76238,7.16564,5.85156,475.326,12.0639
00141126559-01,141126559,1,2,7427,4.13643,0.776737,1.06057e-005,49.9462,41.9948,0.247908,4.6797,0.0197494,1.84548,27281,586.333,0.990043,1411.48,0.000205513,0.495021,0.990105,337.39,0.06146,33,38.0749,42.0755,10.9222,3167.98,23804.2
00141126559-02,141126559,2,2,7427,4.13643,0.776755,7.40525e-006,48.1031,65.4352,0.23876,9.11675,0.0197497,1.84548,24673.3,531.275,0.487991,1411.55,0.00018398,0.243995,0.990105,5.92841,-0.15,33,257.073,58.7624,26.0011,3167.96,23803.4
00141183901-01,141183901,1,1,6198.35,4.105,16.4393,0.00442987,4.3691,1.82426,0.0251628,29.9237,0.133587,1.59049,722.132,87.7212,4.25056,1417.08,0.00319263,0.107047,0.160151,3.69748,-3.11389,2,4.26408,8.22594,7.64623,943.737,187.467
00141186075-01,141186075,1,1,6079.16,4.438,16.4757,0.00424334,2.05369,1.1886,0.0153348,21.4157,0.145284,1.22674,271.986,34.6296,5.9663,1417.04,0.00311106,0.0902757,0.0336779,4.28267,-3.06806,2,0.04492,8.23964,6.50368,779.475,87.2429
00141268467-01,141268467,1,2,6435,3.98035,2.09031,-1,45.5292,-1,0.215813,9.7005,0.0349531,1.93246,466545,0,2,1412.18,-1,0.359089,0.1,2.46874,0.33056,0,255911,2556.26,1159.34,2111.31,4696.04
00141268467-02,141268467,2,2,6435,3.98035,2.09069,5.66089e-005,131.538,18.7759,0.623503,2.09018,0.0349574,1.93246,167371,871.383,12.3612,1412.17,0.000419534,6.18059,0.990105,102.817,0.36944,12,375.018,306.575,168.301,2111.18,4694.9
00141306513-01,141306513,1,1,3005,5.11685,0.556369,3.65727e-005,1.49242,0.820584,0.0818602,7.89837,0.00676329,0.167,7853.99,822.96,0.583749,1411.16,0.000877303,0.0444339,0.0329368,3.65412,0.21667,47,26.5253,9.63717,3.41589,658.894,44.5434
00141306732-01,141306732,1,1,5225.52,4.4,13.3972,0.00305964,2.74914,0.529072,0.0291615,16.5674,0.0972792,0.863544,1015.39,143.294,6.3252,1417.06,0.00211929,0.181588,0.110418,3.19714,8.75139,2,3.16677,8.06597,6.20251,686.995,52.6424
00141332108-01,141332108,1,2,5780,4.438,0.381926,7.48173e-006,11.3509,1.0524,0.103975,1.28308,0.0103072,1,4543.02,132.995,1.87161,1411.19,0.000273893,0.935807,0.990105,58.4479,0.1914,68,69.3954,65.2275,11.8801,2512.17,9412.77
00141332108-02,141332108,2,2,5780,4.438,0.38186,9.70768e-006,2.1595,0.440415,0.0197811,5.49054,0.010306,1,456.081,41.4069,0.543552,1411,0.00019931,0.0107188,0.074809,2.08103,0.05313,68,30.4921,9.77447,2.98449,2512.32,9414.94
00141333573-01,141333573,1,1,5308,4.43889,2.12366,4.42691e-005,36.9269,36.9377,0.354105,3.41629,0.0313989,0.955232,98747.9,480.249,5.44977,1412.81,0.000298646,2.72489,0.796471,5.24056,-0.36944,12,4294.57,241.22,95.7858,1291.87,658.265
00141484981-01,141484981,1,2,8130,4.36343,0.337508,3.44376e-005,2.63777,0.630242,0.0157469,1.52048,0.0119247,1.53441,227.394,25.5052,1.01876,1410.91,0.00127098,0.0813414,0.899493,8.63888,0.17222,77,51.3756,7.37677,3.40753,4069.38,64809.1
00141484981-02,141484981,2,2,8130,4.36343,0.337279,2.85127e-005,2.70604,0.901277,0.0161544,2.11863,0.0119194,1.53441,236.432,30.251,0.616798,1411.09,0.00103054,0.0537232,0.909234,2.09631,-0.05313,77,76.0587,8.39484,3.75223,4070.3,64867.7
00141542826-01,141542826,1,1,5259.57,4.69202,16.0516,0.0096945,4.57573,0.919554,0.0610772,8.02538,0.117804,0.686244,4412.47,572.482,15.9535,1417.22,0.00627807,0.961354,0.206374,3.81701,-2.94306,2,1.60632,7.53547,6.29942,560.147,23.2663
00141606986-01,141606986,1,2,5868.9,4.20529,0.343787,-1,6.05466,-1,0.040595,2.78896,0.00989588,1.3662,556482,0,1,1411.09,-1,0.0411599,0.1,40.7504,0.17295,0,1021,39.2406,10.3383,3042.84,20259.8
00141606986-02,141606986,2,2,5868.9,4.20529,0.343885,-1,6.48777,-1,0.0434989,5.49149,0.00989775,1.3662,445065,0,0.5,1410.91,-1,0.0212705,0.1,2.93454,0.0625,0,126.465,31.3882,8.39351,3042.55,20252.1
00141622065-01,141622065,1,1,6640.1,4.23521,1.46394,2.565e-005,60.3221,10.8655,0.387284,2.11283,0.0273824,1.42674,159383,545.974,7.5968,1411.22,0.000262801,2.90316,0.518467,2.21829,1.01805,18,190.621,101.92,34.0652,2114.97,4728.62
00141624979-01,141624979,1,1,4922.25,4.68056,16.431,0.0119304,4.88307,0.748106,0.0504454,10.4382,0.140701,0.886684,2108.03,263.589,6.39667,1417.07,0.00837559,1.50404,0.907122,3.39988,-3.04444,2,4.80322,8.36013,7.11215,545.244,20.8874
00141685465-01,141685465,1,2,5379,4.42434,15.615,0.000130965,48.6543,48.6544,0.454064,28.8191,0.119554,0.981527,235718,338.06,5.91885,1416.2,9.36705e-005,1.97417,0.267315,134.812,11.6889,2,411.729,762.31,544.156,680.084,50.5558
