#Select Statistics Per TCE From the Data Validation XML Files
#Mission = TESS
#Search = tess2018235142541 
#Sectors = s0002-s0002
#Created Date = 2018-12-11
#
tceid,ticid,planetNumber,planetCandidateCount,starTeffKelvin,starLoggCgs,orbitalPeriodDays,orbitalPeriodDays_err,planetRadiusEarthRadii,planetRadiusEarthRadii_err,ratioPlanetRadiusToStarRadius,ratioSemiMajorAxisToStarRadius,semiMajorAxisAu,starRadiusSolarRadii,transitDepthPpm,transitDepthPpm_err,transitDurationHours,transitEpochBtjd,transitEpochBtjd_err,transitIngressTimeHours,minImpactParameter,ws_mes,ws_mesphase,expectedtransitcount,chiSquare2,mes,maxses,equilibriumTempKelvin,InsolationFlux
00012423835-02,12423835,2,3,3257,4.98814,11.7207,0.00568611,2.92728,0.576478,0.101185,17.5393,0.0635822,0.265,12038.6,1420.85,5.62534,1360.03,0.00408291,0.517402,0.000287971,5.86517,1.54444,2,1.90906,17.7492,14.161,293.403,1.75138
00012423835-03,12423835,3,3,3257,4.98814,4.79726,0.00178453,2.04165,0.450001,0.0705719,7.89984,0.0350505,0.265,5858.76,866.349,4.98169,1356.75,0.00561007,0.330063,0.00836306,3.19773,0.57361,6,4.87066,8.22496,5.11616,395.171,5.76318
00012435232-01,12435232,1,1,5872,4.40267,12.6816,0.00438493,3.71947,5.47472,0.0317139,55.1852,0.108705,1.07431,1168.59,199.453,1.79609,1357.25,0.00324237,0.0561884,0.13357,3.69059,1.28056,2,5.69319,7.69701,7.58829,814.552,104.039
00012470194-01,12470194,1,5,5780,4.438,9.48122,0.00225276,1.54482,1.20252,0.0141506,16.7136,0.0877131,1,234.344,31.8556,4.3973,1361.73,0.00319691,0.0614401,0.0136505,8.54617,5.00278,3,9.77251,11.0138,8.62291,861.167,129.978
00012470194-02,12470194,2,5,5780,4.438,12.5548,0.00454227,1.5999,0.533249,0.0146552,21.96,0.10577,1,234.264,34.6907,3.66208,1366.16,0.00213934,0.0781277,0.572106,5.12181,-1.96111,2,2.8593,11.4719,9.77031,784.222,89.3875
00012470194-03,12470194,3,5,5780,4.438,11.9867,0.00390458,1.73098,0.398487,0.0158558,25.1324,0.102555,1,228.956,31.0999,1.89927,1364.18,0.00340595,0.11837,0.872131,7.31471,2.50694,2,0.17114,11.1929,8.12103,796.419,95.0797
00012470194-04,12470194,4,5,5780,4.438,14.4757,0.00360732,1.74279,3.71647,0.015964,85.7584,0.1163,1,292.843,45.7175,1.24759,1366.68,0.00269224,0.0216554,0.310157,7.88127,6.98194,2,0.64358,9.0381,8.38218,747.875,73.9328
00012470194-05,12470194,5,5,5780,4.438,14.4947,0.00357326,1.32887,2.20315,0.0121725,49.3699,0.116402,1,167.095,28.9251,2.05081,1359.17,0.0025195,0.0303159,0.434283,3.18825,2.05972,2,0.07728,9.00431,6.79351,747.548,73.8035
00012509218-01,12509218,1,1,3192,5.02302,22.472,0.00217823,2.41383,0.469556,0.0936898,50.9219,0.0932963,0.236,10319.3,1077.81,3.68744,1356.69,0.00151604,0.315919,0.00211979,5.42729,1.52778,2,0.14927,13.244,9.77637,224.016,0.595163
00012723924-01,12723924,1,2,4171,4.438,22,0.000122841,34.5443,7.37742,0.339808,55.8935,0.146599,0.931194,64504.4,193.499,2.94453,1357.51,8.05076e-005,1.47226,0.914613,3.36645,1.55417,2,0.15321,405.583,307.8,463.86,10.9413
00012723924-02,12723924,2,2,4171,4.438,11.0001,0.000133639,31.9329,6.75934,0.31412,27.8821,0.0923518,0.931194,58183.8,206.512,2.8775,1363.57,9.59369e-005,1.43875,0.903712,3.84838,7.49028,2,273.423,367.247,265.494,584.426,27.5702
00012932464-01,12932464,1,1,5607,3.59002,17.112,0.0107621,7.45001,2.31779,0.0258008,8.3702,0.129711,2.64497,782.399,79.3216,16.0564,1361.78,0.00764302,0.406002,0.0258408,2.3926,2.12222,2,20.2109,13.9206,17.13,1117.23,368.213
00013059308-01,13059308,1,1,5780,4.438,4.99494,0.000897811,1.50561,0.947814,0.0137914,19.1398,0.0572148,1,187.739,27.9415,1.28095,1356.19,0.00231976,0.0444376,0.784731,7.97384,0.49722,6,0.45269,8.23846,4.75666,1066.27,305.48
