#Select Statistics Per TCE From the Data Validation XML Files
#Mission = TESS
#Search = tess2018206190142 
#Sectors = S0001-S0003
#Created Date = 2019-02-12
#
tceid,ticid,planetNumber,planetCandidateCount,starTeffKelvin,starLoggCgs,orbitalPeriodDays,orbitalPeriodDays_err,planetRadiusEarthRadii,planetRadiusEarthRadii_err,ratioPlanetRadiusToStarRadius,ratioSemiMajorAxisToStarRadius,semiMajorAxisAu,starRadiusSolarRadii,transitDepthPpm,transitDepthPpm_err,transitDurationHours,transitEpochBtjd,transitEpochBtjd_err,transitIngressTimeHours,minImpactParameter,ws_mes,ws_mesphase,expectedtransitcount,chiSquare2,mes,maxses,equilibriumTempKelvin,InsolationFlux
00141975926-01,141975926,1,4,3340,4.438,32.6977,0.00266672,8.23207,0.845169,0.0754061,82.9222,0.200217,1,6777.28,781.684,3.23941,1357.39,0.00191905,0.227184,0.011834,4.7194,6.98055,2,0.07178,14.5795,10.537,329.373,2.78147
00141975926-02,141975926,2,4,3340,4.438,40.611,0.00260957,9.40437,1.30136,0.0861444,152.735,0.23134,1,8730.62,1122.95,2.148,1356.58,0.00192361,0.180674,0.247965,6.53088,15.2292,2,16.6459,16.9185,15.4915,306.417,2.0834
00141975926-03,141975926,3,4,3340,4.438,30.358,0.00475183,11.5158,0.724166,0.105485,33.1519,0.190548,1,13256.3,1381.34,7.7343,1349.15,0.0041837,0.738356,0.0149015,6.26506,17.8403,2,4.25996,13.604,10.3131,337.626,3.0709
00141975926-04,141975926,4,4,3340,4.438,38.1159,0.00380868,8.4908,0.763329,0.0777761,49.738,0.221765,1,7209.57,1017.53,6.30844,1362.52,0.00271467,0.455569,0.025346,6.35355,6.71944,2,0.02236,10.6452,7.61777,312.962,2.2672
00142052876-01,142052876,1,3,2892,5.05595,41.8985,0.00285859,1.51718,0.141866,0.0716365,122.816,0.127196,0.194,5123.17,596.982,1.94063,1361.04,0.00206002,0.295845,0.770696,6.57445,14.9861,2,4.56027,19.8112,17.1626,157.6,0.145794
00142052876-02,142052876,2,3,2892,5.05595,1.12165,5.57064e-005,0.531016,0.150155,0.0250728,2.4614,0.0113827,0.194,720.224,90.8659,3.45811,1325.75,0.00183305,0.102877,0.371061,13.0802,0.57222,72,32.4714,8.15739,2.56758,526.828,18.2052
00142052876-03,142052876,3,3,2892,5.05595,1.12175,0.000115821,1.62045,0.749088,0.0765121,1.1621,0.0113833,0.194,2411.22,129.719,6.58129,1326.31,0.00463372,3.29065,0.990041,3.23499,0.33359,73,66.1438,12.9589,4.79886,526.813,18.2031
00142082796-01,142082796,1,1,7246,4.14929,0.392888,1.19373e-005,4.05167,3.4053,0.0208407,2.9384,0.0123645,1.78082,396.135,66.9288,0.520588,1325.35,0.000447637,0.0520607,0.899477,7.92917,0.27917,206,167.352,7.67216,3.04446,3837.17,51235
00142086813-01,142086813,1,2,3370,4.92769,52.5576,0.0313985,2.35675,0.21607,0.0652203,60.6949,0.191438,0.331,4069.39,513.617,4.47128,1348.15,0.0311679,0.771648,0.823375,5.22783,3.75417,2,2.17856,10.8139,8.12487,195.534,0.345469
00142086813-02,142086813,2,2,3370,4.92769,42.984,0.011385,1.90045,0.453252,0.0525929,104.604,0.16742,0.331,3258.73,420.251,3.3042,1347.24,0.0111375,0.165115,0.00999983,4.97176,14.45,2,4.97485,8.06867,6.91016,209.089,0.451697
